REGION,BRANCH,FULL_BRANCH
P,1,0001
X,2,0002
L,3,0003
H,4,0004
F,5,0005
K,6,0006
R,7,0007
D,8,0008
R,9,0009
G,10,0010
K,11,0011
I,12,0012
R,13,0013
G,14,0014
C,15,0015
G,16,0016
M,17,0017
E,18,0018
Q,19,0019
D,20,0020
R,21,0021
G,22,0022
K,23,0023
M,24,0024
F,25,0025
K,26,0026
N,27,0027
F,28,0028
H,29,0029
D,30,0030
L,31,0031
H,32,0032
R,33,0033
G,34,0034
H,35,0035
N,36,0036
A,37,0037
G,38,0038
M,39,0039
D,40,0040
K,41,0041
A,42,0042
A,43,0043
R,44,0044
R,45,0045
F,46,0046
P,47,0047
H,48,0048
R,49,0049
P,50,0050
R,51,0051
M,52,0052
B,53,0053
N,54,0054
K,55,0055
R,56,0056
R,57,0057
C,58,0058
D,59,0059
N,60,0060
K,61,0061
Q,62,0062
D,63,0063
P,64,0064
R,65,0065
G,66,0066
R,67,0067
G,68,0068
G,69,0069
R,70,0070
Q,71,0071
N,72,0072
R,73,0073
H,74,0074
F,75,0075
G,76,0076
H,77,0077
H,78,0078
M,79,0079
Q,80,0080
G,81,0081
L,82,0082
G,83,0083
Q,84,0084
B,85,0085
K,86,0086
A,87,0087
M,88,0088
Q,89,0089
R,90,0090
C,91,0091
F,92,0092
M,93,0093
F,94,0094
K,95,0095
K,96,0096
H,97,0097
J,98,0098
B,99,0099
F,100,0100
G,101,0101
H,102,0102
N,103,0103
F,104,0104
F,105,0105
H,106,0106
F,107,0107
J,108,0108
K,109,0109
R,110,0110
P,111,0111
H,112,0112
B,113,0113
M,114,0114
J,115,0115
I,116,0116
C,117,0117
P,118,0118
M,119,0119
Q,120,0120
L,121,0121
E,122,0122
F,123,0123
M,124,0124
M,125,0125
L,126,0126
L,127,0127
D,128,0128
D,129,0129
J,130,0130
D,131,0131
F,132,0132
F,133,0133
H,134,0134
B,135,0135
H,136,0136
F,137,0137
D,138,0138
I,139,0139
H,140,0140
M,141,0141
G,142,0142
L,143,0143
B,144,0144
A,145,0145
K,146,0146
L,147,0147
K,148,0148
H,149,0149
J,150,0150
H,151,0151
H,152,0152
H,153,0153
B,154,0154
J,155,0155
G,156,0156
M,157,0157
H,158,0158
X,159,0159
D,160,0160
F,161,0161
F,162,0162
L,163,0163
D,164,0164
F,165,0165
Q,166,0166
N,167,0167
N,168,0168
C,169,0169
X,170,0170
X,171,0171
K,172,0172
H,173,0173
X,174,0174
X,175,0175
B,176,0176
R,177,0177
A,178,0178
D,179,0179
L,180,0180
F,181,0181
H,182,0182
L,183,0183
D,184,0184
H,185,0185
E,186,0186
P,187,0187
Q,188,0188
X,189,0189
G,190,0190
M,191,0191
P,192,0192
I,193,0193
B,194,0194
P,195,0195
G,196,0196
H,197,0197
F,198,0198
E,199,0199
D,200,0200
B,201,0201
P,202,0202
M,203,0203
L,204,0204
C,205,0205
S,206,0206
Q,207,0207
Q,208,0208
L,209,0209
L,210,0210
K,211,0211
L,212,0212
L,213,0213
L,214,0214
G,215,0215
P,216,0216
P,217,0217
P,218,0218
P,219,0219
P,220,0220
P,221,0221
P,222,0222
P,223,0223
P,224,0224
P,225,0225
N,226,0226
N,227,0227
B,228,0228
V,229,0229
E,230,0230
C,231,0231
P,232,0232
M,233,0233
A,234,0234
M,235,0235
H,236,0236
N,237,0237
B,238,0238
L,239,0239
P,240,0240
M,241,0241
L,242,0242
L,243,0243
L,244,0244
H,245,0245
M,246,0246
H,247,0247
M,248,0248
L,249,0249
P,250,0250
H,251,0251
P,252,0252
P,253,0253
N,254,0254
A,255,0255
C,256,0256
P,257,0257
P,258,0258
P,259,0259
P,260,0260
E,261,0261
H,262,0262
A,263,0263
A,264,0264
A,265,0265
B,266,0266
M,267,0267
X,268,0268
C,269,0269
C,270,0270
C,271,0271
M,272,0272
M,273,0273
M,274,0274
D,275,0275
M,276,0276
M,277,0277
M,278,0278
N,279,0279
N,280,0280
P,281,0281
L,282,0282
B,283,0283
X,284,0284
J,285,0285
F,286,0286
V,287,0287
U,288,0288
U,289,0289
U,290,0290
U,291,0291
U,292,0292
U,294,0294
U,296,0296
U,297,0297
U,298,0298
U,299,0299
U,300,0300
V,301,0301
I,302,0302
L,303,0303
Q,304,0304
Q,305,0305
L,306,0306
O,307,0307
O,308,0308
O,309,0309
O,310,0310
O,311,0311
U,312,0312
B,314,0314
D,315,0315
I,317,0317
J,318,0318
I,319,0319
E,320,0320
C,321,0321
Q,322,0322
B,323,0323
D,324,0324
G,325,0325
P,326,0326
G,327,0327
K,328,0328
E,329,0329
I,330,0330
X,331,0331
E,332,0332
L,333,0333
H,334,0334
E,335,0335
B,336,0336
F,337,0337
Q,338,0338
I,339,0339
E,340,0340
I,341,0341
D,342,0342
P,343,0343
R,344,0344
E,345,0345
E,346,0346
T,347,0347
T,348,0348
T,349,0349
T,350,0350
T,351,0351
O,352,0352
O,353,0353
F,354,0354
F,355,0355
E,356,0356
J,357,0357
J,358,0358
I,359,0359
K,360,0360
E,361,0361
I,362,0362
N,363,0363
T,364,0364
T,365,0365
T,366,0366
B,367,0367
M,368,0368
V,369,0369
V,370,0370
