uuid,city_code,kecamatan
5c41c6b214b42873535027ed,1201,Balong Panggang
5c41c6b214b42873535027ec,1201,Benjeng
5c41c6b214b42873535027e2,1201,Bungah
5c41c6b214b42873535027eb,1201,Cerme
5c41c6b214b42873535027f1,1201,Driyorejo
5c41c6b214b42873535027ea,1201,Duduk Sampeyan
5c41c6b214b42873535027e8,1201,Dukun
5c41c6b214b42873535027e1,1201,Gresik
5c41c6b214b42873535027e0,1201,Kebomas
5c41c6b214b42873535027ee,1201,Kedamean
5c41c6b214b42873535027e3,1201,Manyar
5c41c6b214b42873535027ef,1201,Menganti
5c41c6b214b42873535027e9,1201,Panceng
5c41c6b214b42873535027f3,1201,Sangkapura
5c41c6b214b42873535027e4,1201,Sidayu
5c41c6b214b42873535027f2,1201,Tambak
5c41c6b214b42873535027e7,1201,Ujung Pangkah
5c41c6b214b42873535027f0,1201,Wringin Anom
5c41c6b314b4287353503563,1202,Balongbendo
5c41c6b314b428735350356e,1202,Buduran
5c41c6b314b4287353503566,1202,Candi
5c41c6b314b4287353503571,1202,Gedangan
5c41c6b314b428735350356b,1202,Jabon
5c41c6b314b428735350356a,1202,Krembung
5c41c6b314b4287353503562,1202,Krian
5c41c6b314b4287353503569,1202,Porong
5c41c6b314b4287353503564,1202,Prambon
5c41c6b314b4287353503560,1202,Sedati
5c41c6b314b428735350355b,1202,Sidoarjo
5c41c6b314b428735350355c,1202,Sukodono
5c41c6b314b428735350355a,1202,Taman
5c41c6b314b4287353503567,1202,Tanggulangin
5c41c6b314b4287353503565,1202,Tarik
5c41c6b314b4287353503568,1202,Tulangan
5c41c6b314b4287353503572,1202,Waru
5c41c6b314b4287353503561,1202,Wonoayu
5c41c6b214b428735350302f,1203,Bangsal
5c41c6b214b4287353503025,1203,Dawar Blandong
5c41c6b214b428735350302a,1203,Dlanggu
5c41c6b214b4287353503022,1203,Gedeg
5c41c6b214b428735350302b,1203,Gondang
5c41c6b214b428735350302c,1203,Jatirejo
5c41c6b214b4287353503023,1203,Jetis
5c41c6b214b4287353503024,1203,Kemlagi
5c41c6b214b4287353503031,1203,Kutorejo
5c41c6b214b4287353503029,1203,Mojoanyar
5c41c6b214b4287353503030,1203,Mojosari
5c41c6b214b4287353503033,1203,Ngoro
5c41c6b214b428735350302d,1203,Pacet
5c41c6b214b4287353503032,1203,Pungging
5c41c6b214b4287353503028,1203,Puri
5c41c6b214b4287353503026,1203,Sooko
5c41c6b214b4287353503043,1203,Trawas
5c41c6b214b4287353503027,1203,Trowulan
5c41c6b214b4287353502975,1204,Bandar Kedung Mulyo
5c41c6b214b4287353502966,1204,Bareng
5c41c6b214b4287353502976,1204,Diwek
5c41c6b214b4287353502971,1204,Gudo
5c41c6b214b428735350296d,1204,Jogoroto
5c41c6b214b428735350295a,1204,Jombang
5c41c6b214b4287353502960,1204,Kabuh
5c41c6b214b428735350296c,1204,Kesamben
5c41c6b214b428735350295f,1204,Kudu
5c41c6b214b4287353502962,1204,Megaluh
5c41c6b214b428735350296a,1204,Mojoagung
5c41c6b214b4287353502967,1204,Mojowarno
5c41c6b214b4287353502965,1204,Ngoro
5c41c6b214b428735350295e,1204,Ngusikan
5c41c6b214b4287353502964,1204,Perak
5c41c6b214b4287353502969,1204,Peterongan
5c41c6b214b4287353502961,1204,Plandaan
5c41c6b214b428735350295d,1204,Ploso
5c41c6b214b428735350296b,1204,Sumobito
5c41c6b214b428735350295c,1204,Tembelang
5c41c6b214b4287353502968,1204,Wonosalam
5c41c6b214b42873535034c6,1205,Banyuates
5c41c6b214b42873535034c8,1205,Camplong
5c41c6b214b42873535034bc,1205,Jrengik
5c41c6b214b42873535034b6,1205,Karang Penang
5c41c6b214b42873535034b5,1205,Kedungdung
5c41c6b214b42873535034b7,1205,Ketapang
5c41c6b214b42873535034bf,1205,Omben
5c41c6b214b42873535034ba,1205,Pangarengan
5c41c6b214b42873535034be,1205,Robatal
5c41c6b214b42873535034b2,1205,Sampang
5c41c6b214b42873535034b8,1205,Sokobanah
5c41c6b214b42873535034bd,1205,Sreseh
5c41c6b214b42873535034b9,1205,Tambelangan
5c41c6b214b42873535034bb,1205,Torjun
5c41c6b214b4287353503237,1206,Batumarmar
5c41c6b214b4287353503229,1206,Galis
5c41c6b214b4287353503223,1206,Kadur
5c41c6b214b428735350322a,1206,Larangan
5c41c6b214b4287353503222,1206,Pademawu
5c41c6b214b4287353503235,1206,Pakong
5c41c6b214b4287353503226,1206,Palenga'an
5c41c6b214b4287353503221,1206,Pamekasan
5c41c6b214b4287353503224,1206,Pasean
5c41c6b214b4287353503225,1206,Pegantenan
5c41c6b214b4287353503227,1206,Proppo
5c41c6b214b4287353503228,1206,Tlanakan
5c41c6b214b4287353503236,1206,Waru
