KODE KANWIL,NAMA KANWIL,KODE CABANG,NAMA CABANG,KODE UKER,NAMA UKER,TIPE KANTOR,KODE POS,KECAMATAN,DATI II,Koreksi DATI II,DATI I,ALAMAT,TELEFON
M,Denpasar                                ,124,KC Tabanan                              ,4775,UNIT KERAMBITAN TABANAN                 ,UNIT,82161,KERAMBILAN,Kab. Tabanan,Kab. Tabanan,Bali,Jl. Ry Denpasar-Gilimanuk, 0631-8944062
M,Denpasar                                ,124,KC Tabanan                              ,4777,UNIT MEGATI TABANAN                     ,UNIT,82162,TABANAN,Kab. Tabanan,Kab. Tabanan,Bali,Jl. Raya Denpasar-Gilimanuk, 0631-7448625
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3988,UNIT SINGKIL TAPAKTUAN                  ,UNIT,23785,Singkil,Kab. Aceh Singkil,Kab. Aceh Singkil,Nanggroe Aceh Darussalam (NAD),JL. BAHARI DESA PULO SAROK SINGKIL, 0658-21207
F,Bandung                                 ,407,KC Bandung Sukarno Hatta                ,755,UNIT GATOT SUBROTO BANDUNG SUK          ,UNIT,40275,BATUNUNGGAL,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Gatot Subroto No.178.B , 022-7310852 
D,Palembang                               ,324,KC Sungai Liat                          ,7889,UNIT RIAU SILIP SUNGAI LIAT             ,UNIT,33253,BELINYU/RIAU SILIP,Kab. Bangka,Kab. Bangka,Bangka Belitung,Jl Raya Riau Belinyu Riau Silip,08127479816
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4530,UNIT KAYU TANGI B SAMUDERA              ,UNIT,70123,BANJAR UTARA,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Cemara Raya No. 09 Rt.42, 0511-3304203
F,Bandung                                 ,105,KC Cianjur                              ,4086,UNIT PAGELARAN CIANJUR                  ,UNIT,43266,PAGELARAN,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Pegelaran, 0263-363264
E,DKI                                     ,356,KC Jakarta Kemayoran                    ,792,UNIT KARANG ANYAR JAKARTA KEMA          ,UNIT,10740,SAWAH BESAR,Kota Jakarta Pusat,Kota Jakarta Pusat,DKI Jakarta,Jl.Lautze No.12C Kel.Karang Anyar, 021-3448026
F,Bandung                                 ,162,KC Banjar                               ,4022,UNIT KARANGPANINGAL BANJAR              ,UNIT,46385,LAKBOK,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Lakbok No.03, (0265) 650357
F,Bandung                                 ,123,KC Subang                               ,4392,UNIT PURWADADI SUBANG                   ,UNIT,41261,PURWADADI,Kab. Subang,Kab. Subang,Jawa Barat,Jl. Raya Purwadadi Blok Sekolah RT 22/RW 05 Desa Purwadadi, (0260) 462412
G,Semarang                                ,16,KC Demak                                ,3404,UNIT DEMAK KOTA                         ,UNIT,59511,DEMAK,Kab. Demak,Kab. Demak,Jawa Tengah,Jl. Pemuda No.79 Rt.03 Rw.01 Kel: Bintoro, 0291-681783
G,Semarang                                ,22,KC Jepara                               ,5893,UNIT MANTINGAN JEPARA                   ,UNIT,59421,JEPARA,Kab. Jepara,Kab. Jepara,Jawa Tengah,Jl. Raya Mantingan Rt.02 Rw.01 Desa Mantingan, 0291-4299124
G,Semarang                                ,34,KC Kendal                               ,5907,UNIT NOLOKERTO  KENDAL                  ,UNIT,51372,KALIWUNGU,Kab. Kendal,Kab. Kendal,Jawa Tengah,Jl. Raya Barat Kaliwungu Rt.05 Rw.05, 0294-382076
H,Yogyakarta                              ,35,KC Klaten                               ,6735,UNIT JUWIRING I KLATEN                  ,UNIT,57472,JUWIRING,Kab. Klaten,Kab. Klaten,Jawa Tengah,Dukuh Troditan Rt.04/02 Ds.Ketitang,0272552771
K,Surabaya                                ,11,KC Bojonegoro                           ,6186,UNIT KANOR BOJONEGORO                   ,UNIT,62193,KANOR,Kab. Bojonegoro,Kab. Bojonegoro,Jawa Timur,Jl.Raya Kanor Rt 2 Rw 3 Ds Kanor, 0353-7706045
M,Denpasar                                ,125,KC Negara                               ,8181,UNIT GUMBRIH NEGARA                     ,UNIT,82262, Pekutatan,Kab. Jembrana,Kab. Jembrana,Bali,Jl Denpasar-Gilimanuk,-
